date,Open,High,Low,Close,Adjclose,Volume,Returns,Value_Traded,Market_Cap,EPS,P/E_TTM,P/S_TTM,P/Cf_TTM,P/B_TTM,EV,EV/ebitda_TTM,EV/sales_TTM,5D_ADTV,21D_ADTV,63D_ADTV,126D_ADTV,189D_ADTV,252D_ADTV,21D_STDV,63D_STDV,126D_STDV,252D_STDV,20_EMA,55_EMA,200_EMA,RSI,MACD_Line,MACD_Sig,Hist,ADX,ROC,OBV
2010-01-19,6.31,6.4,6.2165,6.3805,6.3805,178002320,0.003696712285669257,1135743802.76,56786450000.0,0.10134831460674157,62.95615299334811,2.3169631563915294,17.244594594594595,3.7817294885455515,47742450000.0,30.467421825143585,1.947955852951977,1375586957.698,,,,,,,,,,,,,,,,,,,-306361140.0
2010-01-20,6.3565,6.46,6.254,6.289,6.289,181628660,-0.01434056892093094,1142262642.74,55972100000.0,0.10134831460674157,62.053325942350334,2.283736586560039,16.997297297297298,3.7274973361747468,46928100000.0,29.947734524569242,1.9147292831204863,1373072686.9459999,,,,,,,,,,,,,,,,,,,-487989800.0
2010-01-21,6.363,6.4075,6.25,6.331,6.331,199520920,0.0066783272380348535,1263166944.52,56345900000.0,0.10134831460674157,62.46773835920178,2.2989881268105594,17.11081081081081,3.7523907831646244,47301900000.0,30.18627951499681,1.9299808233710065,1348691378.218,,,,,,,,,,,,,,,,,,-5.436893203883497,-288468880.0
2010-01-22,6.28,6.3835,6.038,6.0715,6.0715,231556360,-0.04098878534196815,1405894439.74,54036350000.0,0.10134831460674157,59.90726164079823,2.204755395976988,16.40945945945946,3.59858484283431,44992350000.0,28.712412252712188,1.8357480925374352,1380563920.716,,,,,,,,,,,,,,,,,,-9.844828866285537,-520025240.0
2010-01-25,6.105,6.114,5.906,6.0155,6.0155,240621060,-0.009223420900930535,1447455986.43,53537950000.0,0.10134831460674157,59.354711751662975,2.1844200089762946,16.258108108108107,3.5653935801811403,44493950000.0,28.39435226547543,1.8154127055367415,1278904763.2380002,,,,,,,,,,,,,26.03174603174602,,,,,-9.028355387523623,-760646300.0
2010-01-26,6.028,6.149,5.9531,5.974,5.974,191350140,-0.006898844651317404,1143125736.3600001,53168600000.0,0.10134831460674157,58.94523281596453,2.1693500346811376,16.145945945945947,3.540796483750666,44124600000.0,28.158647096362476,1.8003427312415847,1280381149.9580002,,,,,,,,,,,,,25.23607859641739,,,,,-8.092307692307688,-951996440.0
2010-01-27,6.0515,6.1665,5.94,6.1375,6.1375,295293360,0.027368597254770588,1812362997.0,54623750000.0,0.10134831460674157,60.55848115299335,2.2287221020849484,16.58783783783784,3.6377031166755462,45579750000.0,29.087268666241226,1.8597147986453955,1414401220.8100002,,,,,,,,,,,,,33.818664440913956,,,,,-8.066207309766327,-656703080.0
2010-01-28,6.2215,6.36,6.14,6.3015,6.3015,545859240,0.02672097759674119,3439732000.86,56083350000.0,0.10134831460674157,62.17666297117517,2.2882757354441225,17.03108108108108,3.7349061001598294,47039350000.0,30.01873005743459,1.9192684320045696,1849714232.0779998,,,,,,,,,,,,,41.12003516504637,,,,,-3.2844754815440136,-110843840.0
2010-01-29,6.4885,6.5925,6.207,6.2705,6.2705,589567520,-0.0049194636197730235,3696883134.1600003,55807450000.0,0.10134831460674157,61.87078713968958,2.2770186462115958,16.947297297297297,3.7165323654768248,46763450000.0,29.842661135928527,1.9080113427720429,2307911970.9620004,,,,,,,,,,,,,40.216844593923824,,,,,-1.5233608166470236,-700411360.0
2010-02-01,6.159,6.243,5.691,5.9435,5.9435,755458340,-0.05214895143927911,4490066643.79,52897150000.0,0.10134831460674157,58.64429046563193,2.158274511403974,16.063513513513513,3.5227190996270643,43853150000.0,27.985417996171027,1.7892672079644212,2916434102.434,,,,,,,,,,6.349775000000001,,,32.18596381636819,,,,,-7.931221439082947,-1455869700.0
2010-02-02,5.9395,5.949,5.72,5.906,5.906,461693680,-0.00630941364515869,2726762874.08,52563400000.0,0.10134831460674157,58.27427937915743,2.1446570647517236,15.962162162162162,3.500492807671817,43519400000.0,27.772431397574984,1.7756497613121711,3233161529.9779997,1737992420.8533332,,,,,,,,,6.307510714285716,,,31.411306921853665,,,,,-7.247742442088734,-1917563380.0
2010-02-03,5.856,5.9805,5.828,5.955,5.955,246651440,0.008296647477141983,1468809325.2,52999500000.0,0.10134831460674157,58.757760532150776,2.1624505283773305,16.094594594594597,3.5295351624933406,43955500000.0,28.050733886407148,1.7934432249377779,3164450795.618,1759473212.1628575,,,,,0.3301203884436429,,,,6.273938265306124,,,33.658186047505026,,,,,-6.323737612081171,-1670911940.0
2010-02-04,5.932,6.0165,5.787,5.797,5.797,255678240,-0.026532325776658316,1482166757.28,51593300000.0,0.10134831460674157,57.198780487804875,2.1050756864825164,15.667567567567566,3.4358883857218965,42549300000.0,27.15335035098915,1.7360683830429637,2772937746.9019995,1773248959.717143,,,,,0.3352667651237605,,,,6.228515573372207,,,30.220440967036055,,,,,-9.145051328265808,-1926590180.0
2010-02-05,5.794,5.8825,5.705,5.8695,5.8695,220537720,0.012506468863205278,1294446147.5400002,52238550000.0,0.10134831460674157,57.91413525498892,2.1314027500102,15.863513513513515,3.478859216835376,43194550000.0,27.56512444160817,1.7623954465706475,2292450349.578,1789666194.921429,,,,,0.33911706280205056,,,,6.194323614003426,,,33.57312324580294,,,,,-6.670376848465565,-1706052460.0
2010-02-08,5.9688,6.05,5.828,5.8415,5.8415,197949820,-0.004770423375074606,1156323873.53,51989350000.0,0.10134831460674157,57.63786031042129,2.1212350565098532,15.787837837837838,3.4622635855087904,42945350000.0,27.40609444798979,1.7522277530703008,1625701795.526,1776447516.5180955,,,,,0.3364945278709581,,,,6.160721365050718,,,32.91536312819225,,,,,-7.731795924814411,-1904002280.0
2010-02-09,5.91,5.9545,5.85,5.9015,5.9015,182780020,0.01027133441752981,1078676288.03,52523350000.0,0.10134831460674157,58.22987804878049,2.143022971153454,15.950000000000001,3.497825652637187,43479350000.0,27.74687300574346,1.774015667713901,1296084478.316,1765288632.7061906,,,,,0.3210817739830667,,,,6.136033615998269,,,35.81719590542771,,,,,-2.7999670592110615,-1721222260.0
2010-02-10,5.9,5.9305,5.8,5.868,5.868,124645760,-0.005676522917902216,731421319.6800001,52225200000.0,0.10134831460674157,57.89933481152994,2.1308580521441103,15.85945945945946,3.4779701651571657,43181200000.0,27.55660497766433,1.7618507487045576,1148606877.2120001,1745594852.3538096,,,,,0.31405865893552404,,,,6.110506604950815,,,34.90923351010653,,,,,-2.451999002576677,-1845868020.0
2010-02-11,5.8605,6.021,5.825,6.0045,6.0045,163663380,0.023261758691206502,982716765.21,53440050000.0,0.10134831460674157,59.24617516629712,2.180425557958301,16.22837837837838,3.5588738678742673,44396050000.0,28.331876196553925,1.8114182545187483,1048716878.798,1737398793.7209523,,,,,0.32128338444846094,,,,6.100410737812642,,,41.42494049690013,,,,34.2651660962217,0.510545698024778,-1682204640.0
2010-02-12,5.9495,5.997,5.875,5.983,5.983,161376640,-0.0035806478474478265,965516437.1199999,53248700000.0,0.10134831460674157,59.0340354767184,2.1726182218776775,16.17027027027027,3.5461307938199256,44204700000.0,28.209763880025527,1.8036109184381248,982930936.714,1717419886.5285714,,,,,0.31568807596974763,,,,6.0892287627828665,,,40.733297128634646,,,,32.93493233802458,-2.5173116089613146,-1843581280.0
2010-02-16,6.003,6.025,5.859,5.8765,5.8765,178753880,-0.017800434564599676,1050447175.82,52300850000.0,0.10134831460674157,57.98320399113082,2.133944673385287,15.882432432432433,3.483008124667022,43256850000.0,27.604881940012763,1.7649373699457342,961755597.1719999,1708082526.936667,,,,,0.3177105497818011,,,,6.0689688806130695,,,37.402016829963124,,,,31.493786748775953,-6.7444259303340415,-2022335160.0
2010-02-17,5.8538,5.8565,5.7775,5.8155,5.8155,178909880,-0.010380328426784602,1040450407.14,51757950000.0,0.10134831460674157,57.38131929046563,2.11179362683096,15.717567567567569,3.446853356419819,42713950000.0,27.258423739629865,1.7427863233914072,954110420.9940001,1664496747.5709522,,,,,0.31846657604977985,,,,6.044828987221349,,,35.60584524472367,,,,30.607257852434145,-7.256199665098473,-2201245040.0
2010-02-18,5.7919,5.9255,5.741,5.904,5.904,196149940,0.015217952024761283,1158069245.76,52545600000.0,0.10134831460674157,58.25454545454546,2.14393080093027,15.956756756756757,3.4993074054342035,43501600000.0,27.76107211231653,1.7749234974907178,1039440006.21,1665559863.9042857,,,,,0.32443657394753944,,,,6.031416702724077,,,40.10028607940977,,,,29.256775471919628,-0.664591570623374,-2005095100.0
2010-02-19,5.8955,5.9545,5.85,5.876,5.876,142319880,-0.004742547425474197,836271614.88,52296400000.0,0.10134831460674157,57.97827050997783,2.1337631074299237,15.881081081081081,3.4827117741076186,43252400000.0,27.60204211869815,1.7647558039903708,1010150976.144,1650988862.5776188,,,,,0.3220863907609635,,,,6.016615111988451,,,39.16881558208252,,,,27.78500394123193,-0.5079580088045987,-2147414980.0
2010-02-22,5.8685,5.9485,5.809,5.9005,5.9005,136177720,0.004169503063308433,803516636.86,52514450000.0,0.10134831460674157,58.22001108647451,2.142659839242727,15.947297297297297,3.4972329515183804,43470450000.0,27.74119336311423,1.7736525358031743,977751016.092,1629100752.6890476,,,,,0.32124963766195075,,,,6.005556529894313,,,40.471793828438116,-0.162359934240615,-0.2019435875961578,0.039583653355542786,26.678671772669254,-0.9151973131822033,-2011237260.0
2010-02-23,5.9005,5.9625,5.8255,5.862,5.862,141370420,-0.0065248707736632605,828713402.04,52171800000.0,0.10134831460674157,57.84013303769402,2.12867926067975,15.843243243243244,3.474413958444326,43127800000.0,27.52252712188896,1.7596719572401975,933404261.3360001,1601615941.37,,,,,0.2908473865704398,,,,5.991884479428188,,,39.056069308876204,-0.1551154209763741,-0.19257795427220106,0.037462533295826966,25.53538796255781,1.1212696222183904,-2152607680.0
2010-02-24,5.898,5.99,5.8575,5.986,5.986,147784780,0.02115319003752969,884639693.0799999,53275400000.0,0.10134831460674157,59.06363636363636,2.1737076176098573,16.17837837837838,3.5479088971763453,44231400000.0,28.22680280791321,1.8047003141703049,902242118.5239999,1574815165.4961903,,,,,0.29959967395911635,,,,5.991324052815979,,,45.65036707824593,-0.1377800852738913,-0.18161838047253911,0.04383829519864782,24.239157637501354,1.9848368685577933,-2004822900.0
